"Name","DisplayName","State","StartMode"
"SmartSAMD","SmartSAMD","Stopped","Manual"
"smbdirect","smbdirect","Stopped","Manual"
"spaceparser","spaceparser","Stopped","Manual"
"spaceport","Storage Spaces Driver","Running","Boot"
"SpbCx","Simple Peripheral Bus Support Library","Running","Manual"
"srv2","Server SMB 2.xxx Driver","Running","Manual"
"srvnet","srvnet","Running","Manual"
"stexstor","stexstor","Stopped","Manual"
"storahci","Microsoft Standard SATA AHCI Driver","Stopped","Manual"
"storflt","Microsoft Hyper-V Storage Accelerator","Stopped","Manual"
"stornvme","Microsoft Standard NVM Express Driver","Running","Boot"
"storqosflt","Storage QoS Filter Driver","Running","Auto"
"storufs","Microsoft Universal Flash Storage (UFS) Driver","Stopped","Manual"
"storvsc","storvsc","Stopped","Manual"
"swenum","Software Bus Driver","Running","Manual"
"Tcpip","TCP/IP Protocol Driver","Running","Boot"
"Tcpip6","@todo.dll,-100;Microsoft IPv6 Protocol Driver","Stopped","Manual"
"tcpipreg","@%SystemRoot%\System32\drivers\tcpipreg.sys,-10110,","Running","Auto"
"tdx","NetIO Legacy TDI Support Driver","Running","System"
"terminpt","Microsoft Remote Desktop Input Driver","Stopped","Manual"
"ThermalFilter","Microsoft Thermal Filter Driver","Stopped","Manual"
"TPM","TPM","Running","Manual"
"TsUsbFlt","Remote Desktop USB Hub Class Filter Driver","Stopped","Manual"
"TsUsbGD","Remote Desktop Generic USB Device","Stopped","Manual"
"tsusbhub","Remote Desktop USB Hub","Running","Manual"
"tunnel","Microsoft Tunnel Miniport Adapter Driver","Stopped","Manual"
"UASPStor","USB Attached SCSI (UAS) Driver","Stopped","Manual"
"UcmCx0101","USB Connector Manager KMDF Class Extension","Running","Manual"
"UcmTcpciCx0101","UCM-TCPCI KMDF Class Extension","Stopped","Manual"
"UcmUcsiAcpiClient","UCM-UCSI ACPI Client","Running","Manual"
"UcmUcsiCx0101","UCM-UCSI KMDF Class Extension","Running","Manual"
"UCPD","UCPD","Running","System"
"Ucx01000","USB Host Support Library","Running","Manual"
"UdeCx","USB Device Emulation Support Library","Stopped","Manual"
"udfs","udfs","Stopped","Disabled"
"UEFI","Microsoft UEFI Driver","Running","Manual"
"UevAgentDriver","UevAgentDriver","Stopped","Disabled"
"Ufx01000","USB Function Class Extension","Stopped","Manual"
"UfxChipidea","USB Chipidea Controller","Stopped","Manual"
"ufxsynopsys","USB Synopsys Controller","Stopped","Manual"
"uiomap","Microsoft UIO Mapper Driver Service","Running","System"
"umbus","UMBus Enumerator Driver","Running","Manual"
"UmPass","Microsoft UMPass Driver","Running","Manual"
"UnionFS","UnionFS","Running","Auto"
"UrsChipidea","Chipidea USB Role-Switch Driver","Stopped","Manual"
"UrsCx01000","USB Role-Switch Support Library","Stopped","Manual"
"UrsSynopsys","Synopsys USB Role-Switch Driver","Stopped","Manual"
"usb-platformdetection","Usb Platform Detection Driver","Stopped","Manual"
"Usb4DeviceRouter","USB4 Device Router Service","Running","Manual"
"Usb4HostRouter","USB4 Host Router Service","Running","Manual"
"usbaudio","USB Audio Driver (WDM)","Stopped","Manual"
"usbaudio2","USB Audio 2.0 Service","Stopped","Manual"
"usbccgp","Microsoft USB Generic Parent Driver","Stopped","Manual"
"usbcir","eHome Infrared Receiver (USBCIR)","Stopped","Manual"
"usbehci","Microsoft USB 2.0 Enhanced Host Controller Miniport Driver","Stopped","Manual"
"UsbGpio","UsbGpio Service","Stopped","Manual"
"usbhub","Microsoft USB Standard Hub Driver","Stopped","Manual"
"USBHUB3","SuperSpeed Hub","Running","Manual"
"usbi2c","UsbI2c Service","Stopped","Manual"
